0.8,0.01,0.01,0.83,0.77,0.26,0.0,0.0,0.0,1.0,1.0,0.0,0.1
0.79,0.03,0.03,0.81,0.76,0.27,0.0,0.0,0.0,1.0,1.0,0.0,0.1
0.78,0.04,0.04,0.8,0.75,0.28,0.0,0.0,0.0,1.0,1.0,0.0,0.1
0.77,0.05,0.05,0.78,0.74,0.28,0.0,0.0,0.0,1.0,1.0,0.0,0.1
0.76,0.07,0.07,0.77,0.74,0.29,0.0,0.0,0.0,1.0,1.0,0.0,0.1
0.75,0.08,0.08,0.76,0.73,0.3,0.0,0.0,0.0,1.0,1.0,0.0,0.1
0.74,0.09,0.09,0.74,0.72,0.31,0.0,0.0,0.0,1.0,1.0,0.0,0.1
0.74,0.11,0.11,0.73,0.71,0.32,0.0,0.0,0.0,1.0,1.0,0.0,0.1
0.73,0.12,0.12,0.71,0.7,0.33,0.0,0.0,0.0,1.0,1.0,0.0,0.1
0.72,0.14,0.13,0.7,0.69,0.34,0.0,0.0,0.0,1.0,1.0,0.0,0.1
0.71,0.15,0.14,0.69,0.68,0.34,0.0,0.0,0.0,1.0,1.0,0.0,0.1
0.7,0.16,0.16,0.67,0.67,0.35,0.0,0.0,0.0,1.0,1.0,0.0,0.1
0.69,0.18,0.17,0.66,0.67,0.36,0.0,0.0,0.0,1.0,1.0,0.0,0.1
0.68,0.19,0.18,0.64,0.66,0.37,0.0,0.0,0.0,1.0,1.0,0.0,0.1
0.67,0.2,0.2,0.63,0.65,0.38,0.0,0.0,0.0,1.0,1.0,0.0,0.1
0.66,0.22,0.21,0.62,0.64,0.39,0.0,0.0,0.0,1.0,1.0,0.0,0.1
0.65,0.23,0.22,0.6,0.63,0.39,0.0,0.0,0.0,1.0,1.0,0.0,0.1
0.64,0.24,0.24,0.59,0.62,0.4,0.0,0.0,0.0,1.0,1.0,0.0,0.1
0.63,0.26,0.25,0.57,0.61,0.41,0.0,0.0,0.0,1.0,1.0,0.0,0.1
0.62,0.27,0.26,0.56,0.6,0.42,0.0,0.0,0.0,1.0,1.0,0.0,0.1
0.61,0.28,0.28,0.55,0.59,0.43,0.0,0.0,0.0,1.0,1.0,0.0,0.1
0.6,0.3,0.29,0.53,0.59,0.44,0.0,0.0,0.0,1.0,1.0,0.0,0.1
0.6,0.31,0.3,0.52,0.58,0.45,0.0,0.0,0.0,1.0,1.0,0.0,0.1
0.59,0.32,0.32,0.5,0.57,0.45,0.0,0.0,0.0,1.0,1.0,0.0,0.1
0.58,0.34,0.33,0.49,0.56,0.46,0.0,0.0,0.0,1.0,1.0,0.0,0.1
0.57,0.35,0.34,0.48,0.55,0.47,0.0,0.0,0.0,1.0,1.0,0.0,0.1
0.56,0.36,0.36,0.46,0.54,0.48,0.0,0.0,0.0,1.0,1.0,0.0,0.1
0.55,0.38,0.37,0.45,0.53,0.49,0.0,0.0,0.0,1.0,1.0,0.0,0.1
0.54,0.39,0.38,0.43,0.52,0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.1
0.53,0.41,0.4,0.42,0.52,0.51,0.0,0.0,0.0,1.0,1.0,0.0,0.1
0.52,0.42,0.41,0.41,0.51,0.51,0.0,0.0,0.0,1.0,1.0,0.0,0.1
0.51,0.43,0.42,0.39,0.5,0.52,0.0,0.0,0.0,1.0,1.0,0.0,0.1
0.5,0.45,0.43,0.38,0.49,0.53,0.0,0.0,0.0,1.0,1.0,0.0,0.1
0.49,0.46,0.45,0.36,0.48,0.54,0.0,0.0,0.0,1.0,1.0,0.0,0.1
0.48,0.47,0.46,0.35,0.47,0.55,0.0,0.0,0.0,1.0,1.0,0.0,0.1
0.47,0.49,0.47,0.34,0.46,0.56,0.0,0.0,0.0,1.0,1.0,0.0,0.1
0.46,0.5,0.49,0.32,0.45,0.56,0.0,0.0,0.0,1.0,1.0,0.0,0.1
0.46,0.51,0.5,0.31,0.44,0.57,0.0,0.0,0.0,1.0,1.0,0.0,0.1
0.45,0.53,0.51,0.29,0.44,0.58,0.0,0.0,0.0,1.0,1.0,0.0,0.1
0.44,0.54,0.53,0.28,0.43,0.59,0.0,0.0,0.0,1.0,1.0,0.0,0.1
0.43,0.55,0.54,0.27,0.42,0.6,0.0,0.0,0.0,1.0,1.0,0.0,0.1
0.42,0.57,0.55,0.25,0.41,0.61,0.0,0.0,0.0,1.0,1.0,0.0,0.1
0.41,0.58,0.57,0.24,0.4,0.62,0.0,0.0,0.0,1.0,1.0,0.0,0.1
0.4,0.59,0.58,0.22,0.39,0.62,0.0,0.0,0.0,1.0,1.0,0.0,0.1
